Date,Settlement Period,EBCA (£),EBVA (MWh),ESCA (£),ESVA (MWh),SBVA (MWh),SSVA (MWh),BPA (£/MWh),SPA (£/MWh)
11/04/2013,24,0,0,0,0,0,0,7.57,0
11/04/2013,25,0,0,0,0,0,0,5.76,0
11/04/2013,26,0,0,0,0,0,0,2.34,0
11/04/2013,27,0,0,0,0,0,0,0.33,0
11/04/2013,28,0,0,0,0,0,0,0,0
11/04/2013,29,0,0,0,0,0,0,0,0
11/04/2013,30,0,0,0,0,0,0,0,0
11/04/2013,31,0,0,0,0,0,0,0,0
11/04/2013,32,0,0,0,0,0,0,0,0
11/04/2013,33,0,0,0,0,0,0,0,0
11/04/2013,34,0,0,0,0,0,0,0,0
11/04/2013,35,0,0,0,0,0,0,0,0
11/04/2013,36,0,0,0,0,0,0,0,0
11/04/2013,37,0,0,0,0,0,0,0,0
11/04/2013,38,0,0,0,0,0,0,0,0
11/04/2013,39,0,0,0,0,0,0,2.71,0
11/04/2013,40,0,0,0,0,0,0,7.5,0
11/04/2013,41,0,0,0,0,0,0,9.36,0
