Year,DNO,Import Unique Identifier,LLFC,Import MPANs/MSIDs,Export Unique Identifier,LLFC,Export MPANs/MSIDs,Name,Residual Charging Band,Import Super Red unit charge (p/kWh),Import fixed charge (p/day),Import capacity charge (p/kVA/day),Import exceeded capacity charge (p/kVA/day),Export Super Red unit charge (p/kWh),Export fixed charge (p/day),Export capacity charge (p/kVA/day),Export exceeded capacity charge (p/kVA/day),Strike
2024/25,South Eastern England Electricity Network,ANMSTR,780,1900091919588,ANMSTR,780,1900091919597,ANMSTR,,2.153,58.21,1.02,1.02,-2.153,1633.73,0.05,0.05,
2024/25,South Eastern England Electricity Network,AYLESF,725,1900060216613,AYLESF,725,1900060436880,AYLESF,4.0,0.045,67518.21,0.8,0.8,,,,,
2024/25,South Eastern England Electricity Network,BTBRKS,742,1900091199350,BTBRKS,742,1900091199379,BTBRKS,1.0,0.499,2575.35,1.51,1.51,,1846.86,0.05,0.05,True
2024/25,South Eastern England Electricity Network,CAPELG,706,1900091353298,CAPELG,706,1900091353303,CAPELG,,7.592,1.47,4.72,4.72,,1198.62,0.05,0.05,
2024/25,South Eastern England Electricity Network,CWSTBS,,ENET,CWSTBS,,ENET,CWSTBS,,,28.81,0.59,0.59,,28.81,0.05,0.05,
2024/25,South Eastern England Electricity Network,DSCPRK,704,1900091637072,DSCPRK,704,1900091637081,DSCPRK,3.0,,37070.63,0.79,0.79,,2071.7,0.05,0.05,
2024/25,South Eastern England Electricity Network,GUSTON,708,1900091338040,GUSTON,708,1900091338059,GUSTON,,5.225,25.83,1.45,1.45,,2582.93,0.05,0.05,
2024/25,South Eastern England Electricity Network,KENTI2,746,1900091199519,KENTI2,746,1900091199528,KENTI2,1.0,,2506.35,0.87,0.87,,521.02,0.05,0.05,
2024/25,South Eastern England Electricity Network,KENTIS,722,1900070122273,KENTIS,722,1900070122343,KENTIS,1.0,,2518.19,0.87,0.87,,,,,
2024/25,South Eastern England Electricity Network,KNWLTN,735,1900091091930,KNWLTN,735,1900091091940,KNWLTN,,,23.1,5.05,5.05,,2183.18,0.05,0.05,
2024/25,South Eastern England Electricity Network,NEWHVN,700,1900090585014,NEWHVN,700,1900090585005,NEWHVN,,1.53,66.89,1.05,1.05,-1.668,468.24,0.05,0.05,
2024/25,South Eastern England Electricity Network,OAKLND,752,1900091197414,OAKLND,752,1900091197423,OAKLND,,1.744,9.75,3.77,3.77,,1071.33,0.05,0.05,
2024/25,South Eastern England Electricity Network,OLDRSF,739,1900091024517,OLDRSF,739,1900091024526,OLDRSF,,,7.05,2.04,2.04,,1409.43,0.05,0.05,
2024/25,South Eastern England Electricity Network,PADWSF,754,1900091216634,PADWSF,754,1900091216643,PADWSF,,12.693,7.39,1.51,1.51,,1171.06,0.05,0.05,
2024/25,South Eastern England Electricity Network,POSHWF,719,1900091227307,POSHWF,719,1900091227316,POSHWF,,,10.49,0.95,0.95,,524.64,0.05,0.05,
2024/25,South Eastern England Electricity Network,PRIORS,717,1900091319942,PRIORS,717,1900091320006,PRIORS,,1.734,7.35,1.53,1.53,,1106.18,0.05,0.05,
2024/25,South Eastern England Electricity Network,SEVIND,,MSID: 7160,SEVIND,,MSID: 7160,SEVIND,,3.749,2.3,2.84,2.84,-3.749,184.23,0.05,0.05,
2024/25,South Eastern England Electricity Network,STAREN,729,1900060830217,STAREN,729,1900060830226,STAREN,1.0,4.093,4707.27,1.27,1.27,,,,,
2024/25,South Eastern England Electricity Network,THAEAR,733,1900090417081;1900090417106;1900090417133;1900090417142;1900090417151,THAEAR,733,1900090417160;1900090417189;1900090417212;1900090417221;1900090417230,THAEAR,4.0,,72404.61,1.74,1.74,-1.229,5475.62,0.05,0.05,True
2024/25,South Eastern England Electricity Network,THANET,,MSID: 7246,THANET,,MSID: 7246,THANET,1.0,0.086,2516.87,1.75,1.75,,2594.9,0.05,0.05,
2024/25,South Eastern England Electricity Network,THORNE,750,1900091171364,THORNE,750,1900091171373,THORNE,,,33.33,1.61,1.61,,3465.86,0.05,0.05,
2024/25,South Eastern England Electricity Network,WSTWDX,740,1900091086531,WSTWDX,740,1900091086540,WSTWDX,,,21.84,1.87,1.87,,2184.44,0.05,0.05,
2025/26,East of England Electricity Network,3VALSW,,1014569699836,,,,3VALSW,1.0,0.14,10299.99,4.94,4.94,,,,,
2025/26,East of England Electricity Network,ADBRKS,,1023529546480,,,,ADBRKS,3.0,0.831,54738.84,3.79,3.79,,,,,
2025/26,East of England Electricity Network,ARAMAN,,1023483097981,,,,ARAMAN,4.0,0.0,81395.4,1.26,1.26,,,,,
2025/26,East of England Electricity Network,ARKENF,,1050001901140,,,,ARKENF,4.0,0.0,77835.08,1.44,1.44,,,,,
2025/26,East of England Electricity Network,BERMAT,,1014571751895,,,,BERMAT,1.0,0.0,4888.28,4.27,4.27,,,,,
2025/26,East of England Electricity Network,BREFC2,410,1050002055558,BREFC2,410,1050002055567,BREFC2,1.0,0.0,5017.79,3.97,3.97,0.0,45.27,0.05,0.05,
2025/26,East of England Electricity Network,CEMXUK,,1014571132500;1023474247588,,,,CEMXUK,1.0,5.238,5060.57,2.37,2.37,,,,,
2025/26,East of England Electricity Network,CMRODC,,1050001068050;1050001068069,,,,CMRODC,1.0,2.215,5210.25,1.37,1.37,,,,,
2025/26,East of England Electricity Network,CROWNP,413,1050001472920,CROWNP,413,1050002018370,CROWNP,3.0,0.0,50285.45,1.66,1.66,0.0,662.5,0.05,0.05,
2025/26,East of England Electricity Network,DELTAP,,ENET,,,,DELTAP,2.0,0.974,21399.3,1.5,1.5,,,,,
2025/26,East of England Electricity Network,ESWWIX,,1014572713989,,,,ESWWIX,1.0,11.791,9311.49,2.16,2.16,,,,,
2025/26,East of England Electricity Network,FXDFAG,,1014572633250;1023479907422,,,,FXDFAG,2.0,2.563,27768.4,2.91,2.91,,,,,
2025/26,East of England Electricity Network,GLXOW2,,1023475634488;1023475635409,,,,GLXOW2,2.0,4.505,23023.23,3.46,3.46,,,,,
2025/26,East of England Electricity Network,HEINZF,,1014573127752,,,,HEINZF,1.0,1.704,4888.28,4.14,4.14,,,,,
2025/26,East of England Electricity Network,HS2WRU,,1050002218665;1050002218656,,,,HS2WRU,3.0,0.388,68129.24,1.45,1.45,,,,,
2025/26,East of England Electricity Network,INFSSE,,ENET,,,,INFSSE,4.0,1.768,67996.04,1.27,1.27,,,,,
2025/26,East of England Electricity Network,LAKENH,,1023504932800;1050002056960;1050001791601,,,,LAKENH,2.0,0.632,23367.8,5.25,5.25,,,,,
2025/26,East of England Electricity Network,LBARPS,,MSID: 7409,,,,LBARPS,,0.0,494.25,1.58,1.58,,,,,
2025/26,East of England Electricity Network,NR_BAS,722,1023478020044,NR_BAS,722,1023545945010,NR_BAS,2.0,0.0,38510.36,4.0,4.0,,,,,
