Data,Unit ID,Time From,Time To,Pair ID,Availability Power,Utilisation Price,Service ID
AV,EDFE-21,2025-10-10T05:30:00,2025-10-10T06:00:00,-1,0.0,66.97,NQR
AV,EDFE-11,2025-10-10T05:30:00,2025-10-10T06:00:00,-1,0.0,61.18,NQR
AV,EDFE-11,2025-10-10T06:00:00,2025-10-10T06:30:00,1,0.0,138.79,PQR
AV,EDFE-21,2025-10-10T06:00:00,2025-10-10T06:30:00,-1,0.0,24.05,NQR
AV,EDFE-21,2025-10-10T06:00:00,2025-10-10T06:30:00,1,0.0,129.0,PQR
AV,EDFE-8,2025-10-10T06:00:00,2025-10-10T06:30:00,1,0.0,129.79,PQR
AV,EDFE-11,2025-10-10T06:00:00,2025-10-10T06:30:00,-1,0.0,61.18,NQR
AV,EDFE-8,2025-10-10T06:00:00,2025-10-10T06:30:00,-1,0.0,66.18,NQR
AV,EDFE-21,2025-10-10T06:30:00,2025-10-10T07:00:00,-1,0.0,80.98,NQR
AV,EDFE-8,2025-10-10T06:30:00,2025-10-10T07:00:00,-1,0.0,77.68,NQR
AV,EDFE-11,2025-10-10T06:30:00,2025-10-10T07:00:00,1,0.0,134.92,PQR
AV,EDFE-8,2025-10-10T06:30:00,2025-10-10T07:00:00,1,0.0,130.79,PQR
AV,EDFE-21,2025-10-10T06:30:00,2025-10-10T07:00:00,1,0.0,130.0,PQR
AV,EDFE-11,2025-10-10T06:30:00,2025-10-10T07:00:00,-1,0.0,61.18,NQR
AV,EDFE-21,2025-10-10T07:00:00,2025-10-10T07:30:00,-1,0.0,80.98,NQR
AV,EDFE-11,2025-10-10T07:00:00,2025-10-10T07:30:00,-1,0.0,61.18,NQR
AV,EDFE-8,2025-10-10T07:00:00,2025-10-10T07:30:00,-1,0.0,66.18,NQR
AV,EDFE-11,2025-10-10T07:00:00,2025-10-10T07:30:00,1,0.0,128.03,PQR
AV,EDFE-8,2025-10-10T07:00:00,2025-10-10T07:30:00,1,0.0,128.03,PQR
AV,EDFE-21,2025-10-10T07:00:00,2025-10-10T07:30:00,1,0.0,118.0,PQR
AV,EDFE-8,2025-10-10T07:30:00,2025-10-10T08:00:00,1,0.0,118.83,PQR
AV,EDFE-11,2025-10-10T07:30:00,2025-10-10T08:00:00,1,0.0,118.83,PQR
AV,EDFE-21,2025-10-10T07:30:00,2025-10-10T08:00:00,1,0.0,117.0,PQR
AV,EDFE-21,2025-10-10T07:30:00,2025-10-10T08:00:00,-1,0.0,80.98,NQR
AV,EDFE-8,2025-10-10T07:30:00,2025-10-10T08:00:00,-1,0.0,66.18,NQR
AV,EDFE-11,2025-10-10T07:30:00,2025-10-10T08:00:00,-1,0.0,61.18,NQR
AV,EDFE-8,2025-10-10T08:00:00,2025-10-10T08:30:00,1,0.0,108.49,PQR
AV,EDFE-8,2025-10-10T08:00:00,2025-10-10T08:30:00,-1,0.0,63.33,NQR
AV,EDFE-11,2025-10-10T08:00:00,2025-10-10T08:30:00,1,0.0,108.49,PQR
AV,EDFE-21,2025-10-10T08:00:00,2025-10-10T08:30:00,-1,0.0,64.12,NQR
AV,EDFE-21,2025-10-10T08:00:00,2025-10-10T08:30:00,1,0.0,110.47,PQR
AV,EDFE-11,2025-10-10T08:00:00,2025-10-10T08:30:00,-1,0.0,61.18,NQR
AV,EDFE-11,2025-10-10T08:30:00,2025-10-10T09:00:00,1,0.0,115.38,PQR
